            mmlo_unfiltered  mmlo_filtered  mmlo_lowpass  mmlo_highpass
1958-03-31         1.271950      -0.067270      1.240318       0.054875
1958-04-30         2.947169      -0.335590      0.951353       1.742250
1958-05-31         2.930049      -0.578120      0.687911       1.737756
1958-06-30         2.464921      -0.776778      0.468082       1.285720
1958-07-31         1.157444      -0.918640      0.304798      -0.008205
1958-08-31         0.159785      -0.997340      0.204434      -0.991857
1958-09-30        -1.635864      -1.013578      0.166300      -2.773051
1958-10-31        -2.243881      -0.974681      0.183076      -3.366168
1958-11-30        -1.639876      -0.893309      0.242111      -2.746827
1958-12-31        -0.368250      -0.785485      0.327394      -1.459437
1959-01-31         0.513194      -0.668265      0.421877      -0.561806
1959-02-28         1.211117      -0.557390      0.509829       0.152716
1959-03-31         1.472215      -0.465251      0.578869       0.430819
1959-04-30         2.415363      -0.399461      0.621393       1.391368
1959-05-31         2.916104      -0.362214      0.635218       1.909896
1959-06-30         2.708906      -0.350487      0.623379       1.720862
1959-07-31         1.029289      -0.357026      0.593138       0.059776
1959-08-31        -0.780509      -0.371920      0.554418      -1.731136
1959-09-30        -1.808229      -0.384497      0.517902      -2.739624
1959-10-31        -2.458385      -0.385232      0.493124      -3.370213
1959-11-30        -0.986451      -0.367365      0.486857      -1.878390
1959-12-31        -0.276964      -0.327986      0.502021      -1.148704
1960-01-31         0.502528      -0.268435      0.537285      -0.348714
1960-02-29         0.976411      -0.193984      0.587393       0.145952
1960-03-31         1.515560      -0.112865      0.644120       0.706158
1960-04-30         2.886822      -0.034842      0.697713       2.098737
1960-05-31         3.825614       0.030442      0.738542       3.059094
1960-06-30         3.316532       0.075072      0.758704       2.571808
1960-07-31         1.834969       0.094160      0.753320       1.112262
1960-08-31        -0.506774       0.086630      0.721325      -1.207259
...                     ...            ...           ...            ...
2015-01-31         0.112796       0.054470     -0.043752       1.060676
2015-02-28         0.242505      -0.129900     -0.166003       1.109999
2015-03-31         1.314050      -0.322548     -0.292434       2.092847
2015-04-30         2.871255      -0.503576     -0.403065       3.552895
2015-05-31         3.362188      -0.652369     -0.477201       3.938080
2015-06-30         2.019048      -0.750513     -0.496358       2.480492
2015-07-31         0.339623      -0.784672     -0.447130       0.677838
2015-08-31        -2.229983      -0.748985     -0.323598      -2.023836
2015-09-30        -3.713645      -0.646620     -0.128875      -3.648434
2015-10-31        -3.243864      -0.490157      0.124504      -3.328452
2015-11-30        -1.557873      -0.300676      0.415498      -1.801090
2015-12-31        -0.058194      -0.105566      0.716747      -0.468799
2016-01-31         0.421807       0.064720      0.997817      -0.164836
2016-02-29         1.763918       0.180582      1.229120       0.992735
2016-03-31         2.363842       0.217365      1.386000       1.399807
2016-04-30         4.769477       0.159055      1.452432       3.604516
2016-05-31         4.858790       0.001059      1.423798       3.485110
2016-06-30         3.784082      -0.248369      1.308319       2.194225
2016-07-31         1.173039      -0.568316      1.126858      -0.640063
2016-08-31        -1.158185      -0.927060      0.911076      -3.201156
2016-09-30        -2.563412      -1.285407      0.700087      -4.842373
2016-10-31        -2.215249      -1.601133      0.536024      -4.735753
2016-11-30        -0.440821      -1.833970      0.459047      -3.207788
2016-12-31         0.257244      -1.950516      0.502432      -2.760404
2017-01-31         1.774619      -1.928427      0.688377      -1.497154
2017-02-28         1.890463      -1.759344      1.025081      -1.638025
2017-03-31         2.457734      -1.450168      1.505461      -1.329128
2017-04-30         4.090799      -1.022513      2.107700       0.044917
2017-05-31         4.547453      -0.510416      2.797537       0.243010
2017-06-30         3.550172       0.043404      3.532007      -1.011180

[712 rows x 4 columns]
